ticker,sector,industry,next_earnings,marketCap,shortName,longName,exchange1,exchange2
TXG,Healthcare,Health Information Services,2025-08-06,1149455872,"10x Genomics, Inc.","10x Genomics, Inc.",NasdaqGS,Nasdaq Real Time Price
MMM,Industrials,Conglomerates,2025-07-24,80528023552,3M Company,3M Company,NYSE,Delayed Quote
AOS,Industrials,Specialty Industrial Machinery,2025-07-21,9198715904,A.O. Smith Corporation,A. O. Smith Corporation,NYSE,Nasdaq Real Time Price
AAON,Industrials,Building Products & Equipment,2025-07-30,7823350272,"AAON, Inc.","AAON, Inc.",NasdaqGS,Nasdaq Real Time Price
ABT,Healthcare,Medical Devices,2025-07-16,231137755136,Abbott Laboratories,Abbott Laboratories,NYSE,Nasdaq Real Time Price
ABBV,Healthcare,Drug Manufacturers - General,2025-07-23,327879163904,AbbVie Inc.,AbbVie Inc.,NYSE,Delayed Quote
ACHC,Healthcare,Medical Care Facilities,2025-07-29,2104992256,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",NasdaqGS,Nasdaq Real Time Price
ACN,Technology,Information Technology Services,2025-06-20,198907248640,Accenture plc,Accenture plc,NYSE,Nasdaq Real Time Price
AYI,Industrials,Electrical Equipment & Parts,2025-06-26,8089048064,Acuity Inc.,Acuity Inc.,NYSE,Delayed Quote
ADBE,Technology,Software - Application,2025-06-12,176174022656,Adobe Inc.,Adobe Inc.,NasdaqGS,Nasdaq Real Time Price
ADT,Industrials,Security & Protection Services,2025-07-30,6917938176,ADT Inc.,ADT Inc.,NYSE,Delayed Quote
AAP,Consumer Cyclical,Auto Parts,2025-08-20,2898002176,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",NYSE,Delayed Quote
WMS,Industrials,Building Products & Equipment,2025-08-06,8656946176,"Advanced Drainage Systems, Inc.","Advanced Drainage Systems, Inc.",NYSE,Delayed Quote
AMD,Technology,Semiconductors,2025-07-28,183266852864,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",NasdaqGS,Nasdaq Real Time Price
