ticker,sector,industry,next_earnings,marketCap,shortName,longName
ADBE,Technology,Software - Application,2025-03-12,190905171968,Adobe Inc.,Adobe Inc.
AMD,Technology,Semiconductors,2025-04-28,161821130752,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc."
ABNB,Consumer Cyclical,Travel Services,2025-05-06,86285484032,"Airbnb, Inc.","Airbnb, Inc."
GOOGL,Communication Services,Internet Content & Information,2025-04-23,2086372769792,Alphabet Inc.,Alphabet Inc.
GOOG,Communication Services,Internet Content & Information,2025-04-23,2086376439808,Alphabet Inc.,Alphabet Inc.
AMZN,Consumer Cyclical,Internet Retail,2025-04-28,2249679699968,"Amazon.com, Inc.","Amazon.com, Inc."
AEP,Utilities,Utilities - Regulated Electric,2025-04-28,56547028992,American Electric Power Company,"American Electric Power Company, Inc."
AMGN,Healthcare,Drug Manufacturers - General,2025-04-30,165491376128,Amgen Inc.,Amgen Inc.
ADI,Technology,Semiconductors,2025-05-20,114104238080,"Analog Devices, Inc.","Analog Devices, Inc."
ANSS,Technology,Software - Application,2025-04-29,29209962496,"ANSYS, Inc.","ANSYS, Inc."
AAPL,Technology,Consumer Electronics,2025-04-30,3632944644096,Apple Inc.,Apple Inc.
AMAT,Technology,Semiconductor Equipment & Materials,2025-05-14,128422559744,"Applied Materials, Inc.","Applied Materials, Inc."
APP,Technology,Software - Application,2025-05-06,110737924096,Applovin Corporation,AppLovin Corporation
ARM,Technology,Semiconductors,2025-02-05,138801266688,Arm Holdings plc,Arm Holdings plc
ASML,Technology,Semiconductor Equipment & Materials,2025-04-16,288328253440,ASML Holding N.V. - New York Re,ASML Holding N.V.
AZN,Healthcare,Drug Manufacturers - General,2025-04-29,236272336896,Astrazeneca PLC,AstraZeneca PLC
TEAM,Technology,Software - Application,2025-01-30,74476126208,Atlassian Corporation,Atlassian Corporation
ADSK,Technology,Software - Application,2025-02-27,59094720512,"Autodesk, Inc.","Autodesk, Inc."
ADP,Technology,Software - Application,2025-04-29,128237600768,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc."
AXON,Industrials,Aerospace & Defense,2025-05-05,40296849408,"Axon Enterprise, Inc.","Axon Enterprise, Inc."
BKR,Energy,Oil & Gas Equipment & Services,2025-04-21,44149092352,Baker Hughes Company,Baker Hughes Company
BIIB,Healthcare,Drug Manufacturers - General,2025-04-22,20565688320,Biogen Inc.,Biogen Inc.
BKNG,Consumer Cyclical,Travel Services,2025-04-30,164601364480,Booking Holdings Inc. Common St,Booking Holdings Inc.
